歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
時の冒険者,master,13.6,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量偏高，BPM 偏快且後段仍有壓力；主要看穩定。
花弁、それにまつわる音声,master,13.6,拘束配置,"視認難,混合節奏,全體難",片手處理,中,圖面大量長條/滑條牽制與 TAP 交錯，視認與手順比速度更重要。
ラブリージャッジメント,master,13.6,高速處理,"局部難,拘束配置,混合節奏",餡蜜可用,中,圖面 BPM 很高且有局部快速配置，但不是全程爆量；局部高速段可用簡化處理。
殺屋中毒,master,13.6,高速處理,"拘束配置,局部難,視認難",交互穩定,中,圖面有中高速 TAP 與牽制段落，速度與節奏穩定比物量更核心。
Fantasm,master,13.6,高速處理,"拘束配置,局部難,階段",階段,中,圖面有中高速階段與局部快速配置，並穿插長條牽制；速度反應是主要殺點。
GranFatalité,master,13.6,高速處理,"局部難,拘束配置,階段",階段,中,圖面有高 BPM 下的局部快速配置與階段，並有牽制；速度反應是主要壓力。
アイドゥーミー!,master,13.6,標準,"混合節奏,拘束配置,視認難",,中,圖面配置分布平均，長條/滑條與 TAP 混合但沒有單一極端殺點；偏基本功綜合譜。
システム,master,13.6,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面以牽制與節奏變化為主，長條/滑條包住 TAP 的段落較多。
ずんだシェイキング,master,13.6,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條、滑條與 TAP 交錯密集，整體偏牽制型；推分重點是手順穩定。
黒塗り世界宛て書簡,master,13.6,局部難,"視認難,拘束配置,混合節奏",鍵盤,中,圖面有明顯局部鍵盤狀/多押配置與視認壓力，段落尖峰比全程物量更核心。
好きな惣菜発表ドラゴン,master,13.6,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合，局部有牽制與節奏變化，但殺點不集中。
バグ,master,13.6,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制多，TAP 被牽制段包住，手順與視認是主軸。
ヒアソビ,master,13.6,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面有多段滑條/長條與 TAP 交錯，節奏與配置變化較多。
華麗なる死闘,master,13.6,局部難,"混合節奏,視認難,拘束配置",,中,圖面配置較碎，有局部變化與視認干擾；主要看段落反應與判斷。
Re:Credits,master,13.6,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面長條/滑條牽制與 TAP 配置交錯，局部手順需要整理。
We don't need tears!,master,13.6,局部難,"拘束配置,視認難,混合節奏",片手處理,中,圖面有幾段明顯局部牽制與集中配置，段落壓力差較大。
あいのうた,master,13.6,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條交錯多，TAP 被牽制段包住；視認與手順穩定是重點。
Blazing Break,master,13.6,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有多段長條/滑條與 TAP 交錯，局部牽制較明顯；推分重點是手順整理。
幾望の月,master,13.6,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條視認與 TAP 交錯較多，手順整理是主要難點。
札付きのワル ~マイケルのうた~,master,13.6,物量譜面,"全體難, 混合節奏, 拘束配置",,中,BPM 184、CHAIN 2059，整體處理量偏高。
L9,master,13.6,局部難,"高速處理,視認難,混合節奏",,中,圖面段落壓力不平均，BPM 高但配置不是全程爆量；主要看局部反應。
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,master,13.6,標準,"局部難, 拘束配置, 標準",,中,BPM 175、CHAIN 1546，歌名疑似被截斷且定數空白，先依數據保守判斷。
XL TECHNO,master,13.6,局部難,"視認難, 拘束配置, 混合節奏",擦り可用,中,圖面低速感、滑條與小配置視認壓力明顯；部分密集小配置可用擦り輔助。
《楽土》~ One and Only One,master,13.6,標準,"混合節奏, 拘束配置, 局部難",,中高,BPM 132、CHAIN 1743，偏綜合型，節奏、配置與基礎處理都要顧。
ぽっぴっぽー,master,13.6,拘束配置,"視認難,混合節奏,局部難",片手處理,高,歌名、定數、BPM/CHAIN 抓取異常；圖面可看，長條/滑條與 TAP 交錯明顯，建議人工確認歌曲資訊。
WE GOTTA SOUL,ultima,13.6,拘束配置,"全體難, 交叉配置, 混合節奏",,中,BPM 170、CHAIN 1804，圖面滑條與配置牽制多，重點偏手順與綜合處理。
淵底のグレイ・ユークロニア,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面密度高且連續配置多，BPM 造成反應壓力；推分重點是全程穩定。
MeteorSnow,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體處理量高，中高速 TAP 與牽制配置持續；全程穩定是主軸。
Longinus,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，CHAIN 也偏高，長條/滑條與中高速 TAP 持續出現。
MarbleBlue.,expert,13.7,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面配置量偏高且後段仍有處理壓力；全程穩定是主軸。
Odin,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，BPM 與連續 TAP 造成速度壓力；穩定處理是主軸。
Singularity,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量高且密度持續，中高速 TAP 與長條牽制並存；全程穩定是核心。
Strange Love,expert,13.7,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面整體配置量高，CHAIN 偏高，後段仍有壓力；主要看耐力與穩定。
封焔の135秒,expert,13.7,物量譜面,"全體難,拘束配置,最後不能鬆懈",交互穩定,中低,圖面整體處理量高，長條/滑條與 TAP 持續交錯；推分重點在穩定與耐力。
ANU,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM 與配置速度都有壓力；全程穩定是核心。
BUCHiGiRE Berserker,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量高且 BPM 有速度壓力，長條/滑條與 TAP 持續出現。
Opfer,expert,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面配置量偏高，長條/滑條與 TAP 混合持續；全程穩定是主軸。
folern,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，中高速 TAP 與牽制配置持續；全程穩定是主軸。
TiamaT:F minor,expert,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量非常高，CHAIN 明顯偏高，中高速配置持續；穩定與耐力是主軸。
Tempestissimo,expert,13.7,高速處理,"全體難,拘束配置,階段","階段,交互穩定",中,圖面中高速階段與連續 TAP 壓力明顯，長條牽制也有；速度與階段穩定是推分核心。
躯樹の墓守,expert,13.7,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條與滑條牽制多，局部 TAP 配置較容易卡手；主要看手順整理。
Aleph-0,expert,13.7,高速處理,"全體難,階段,拘束配置","階段,餡蜜可用",中,圖面高速階段與連續配置壓力明顯，部分高速段可用餡蜜降低失誤。
QZKago Requiem,expert,13.7,拘束配置,"視認難,局部難,混合節奏",擦り可用,中,圖面低速視認與密集滑條/小鍵配置明顯，部分段落擦り能降低失誤。
蜘蛛の糸,expert,13.7,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制與局部 TAP 壓力明顯；主要看手順整理。
アポカリプスに反逆の焔を焚べろ,expert,13.7,標準,"混合節奏,拘束配置,局部難",,中,圖面偏綜合配置，牽制與局部配置都有，但核心殺點不算單一。
Hainuwele,expert,13.7,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制多，局部 TAP 配置容易卡手；主要看手順與視認。
神威 (NAOKI × ZPP MIX),expert,13.7,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面長條/滑條牽制與局部 TAP 壓力明顯；主要看手順與視認。
End Time,expert,13.7,拘束配置,"視認難,局部難,混合節奏",擦り可用,中,圖面低速視認與密集小配置較明顯，部分段落擦り可輔助穩定。
ビッグブリッヂの死闘,expert,13.7,拘束配置,"視認難,混合節奏,局部難",片手處理,中高,定數空白；圖面有大量長條/滑條與 TAP 交錯，手順牽制明顯，建議人工確認定數。
〚回帰〛 ~Scherzo,expert,13.7,標準,"混合節奏,拘束配置,局部難",片手處理,中高,定數空白；圖面偏綜合配置，有牽制與局部變化，但沒有單一極端殺點，建議人工確認定數。
"《創造》~ Cries, beyond The End",expert,13.7,拘束配置,"視認難,混合節奏,局部難",片手處理,中高,定數空白；圖面長條/滑條牽制較明顯，局部手順壓力高，建議人工確認定數。
ゴーストルール,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面處理量高，連續 TAP 與長條/滑條交錯持續；全程穩定是核心。
うい麦畑でつかまえて,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量高，長條/滑條與 TAP 持續交錯；全程穩定度是主軸。
ラビットホール,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量高，長條與 TAP 持續交錯；推分看耐力與穩定。
きゅうくらりん,master,13.7,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體配置量高，長條/滑條與 TAP 持續交錯；主要看全程穩定與耐力。
Starting Over,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高且 BPM 偏快，長條/滑條與 TAP 持續交錯；穩定處理是核心。
はたてのバッコイ殺人事件,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條與 TAP 持續交錯；全程穩定度是主軸。
ヒバナ,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 高且整體配置量偏高，長條/滑條與 TAP 混合持續；穩定處理是主軸。
ミリオン/ワンズ,master,13.7,物量譜面,"全體難,拘束配置,高速處理",交互穩定,中低,圖面整體密度高，中高速 TAP 與長條/滑條配置連續出現；推分重點是全程穩定。
アンハッピーリフレイン,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，中高速 TAP 與長條/滑條配置持續；穩定處理是核心。
幸せになれる隠しコマンドがあるらしい,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度偏高，中高速配置與牽制持續；全程穩定是主軸。
チルドレンレコード,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面 BPM 高且整體處理量偏高，長條/滑條與 TAP 持續出現；穩定處理是核心。
そして春めくモノローグ,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量高，TAP 與長條/滑條交錯持續；推分重點是全程穩定度。
Beautiful Future,master,13.7,物量譜面,"全體難,拘束配置,視認難",交互穩定,中低,圖面整體處理量偏高，長條/滑條與 TAP 持續交錯；全程穩定是重點。
ONE SAME GOAL,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體長且處理量偏高，長條與 TAP 混合持續；穩定度是主軸。
Everything For A Reason,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，長條/滑條與 TAP 交錯持續；推分重點是穩定處理。
Kattobi舞高Riders,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體處理量高，BPM 與段落速度也有壓力；推分看穩定與耐力。
ぷよぷよのうた ピコピコミックス,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP 與長條/滑條交錯持續；推分重點是穩定。
SUPER RESULT BEAT vol.1,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 交錯持續；全程穩定是主軸。
絶対にチョコミントを食べるアオイチャン,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，長條/滑條與 TAP 持續交錯；推分看穩定度。
みなえをチェック!,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體處理量偏高，長條與 TAP 持續交錯；主要看穩定與耐力。
Axium Crisis,master,13.7,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體處理量偏高，速度與配置密度都有壓力；主要看穩定。
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,master,13.7,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體長且處理量偏高，長條與 TAP 持續交錯；穩定是主軸。
